Character,Radical,CharFreq,Radicals,Qwen_Token_IDs
疼,疒,197.9062,['疒'],[100909]
痕,疒,38.7901,['疒'],[101629]
疲,疒,44.3111,['疒'],[101716]
癫,疒,11.1062,['疒'],[101800]
痫,疒,1.6346,['疒'],[101801]
痘,疒,28.5728,['疒'],[101820]
瘦,疒,80.1679,['疒'],[102372]
疯,疒,237.7679,['疒'],[102639]
癜,疒,0.5235,['疒'],[102742]
瘤,疒,9.7827,['疒'],[102785]
痴,疒,62.2272,['疒'],[103082]
疡,疒,5.2889,['疒'],[103678]
疤,疒,11.5852,['疒'],[103687]
疵,疒,3.6889,['疒'],[103825]
痹,疒,10.1728,['疒'],[103887]
痒,疒,28.0148,['疒'],[108681]
瘾,疒,33.679,['疒'],[108886]
痰,疒,4.7506,['疒'],[110776]
瘫,疒,7.2938,['疒'],[113098]
疹,疒,5.5309,['疒'],[113908]
疮,疒,9.0568,['疒'],[116066]
癖,疒,7.9259,['疒'],[119269]
疟,疒,0.4,['疒'],[119337]
疙,疒,4.4691,['疒'],[119338]
疚,疒,12.0593,['疒'],[119339]
痊,疒,3.3679,['疒'],[119418]
痢,疒,0.6864,['疒'],[119441]
痪,疒,3.6395,['疒'],[119442]
瘩,疒,4.4889,['疒'],[119475]
瘟,疒,2.4,['疒'],[119476]
瘪,疒,2.5481,['疒'],[119493]
瘸,疒,2.6173,['疒'],[119507]
癣,疒,0.563,['疒'],[119523]
疖,疒,0.2617,['疒'],[119740]
疝,疒,0.5531,['疒'],[119938]
疥,疒,0.1136,['疒'],[120203]
疳,疒,0.1185,['疒'],[120468]
疸,疒,0.3901,['疒'],[120470]
疽,疒,0.6716,['疒'],[120471]
疱,疒,1.3975,['疒'],[120473]
痂,疒,0.6815,['疒'],[120474]
痉,疒,1.5852,['疒'],[120475]
痔,疒,1.7778,['疒'],[120756]
痍,疒,0.3309,['疒'],[120757]
痣,疒,3.1012,['疒'],[121021]
痨,疒,0.8198,['疒'],[121022]
痦,疒,0.1284,['疒'],[121023]
痞,疒,3.7531,['疒'],[121024]
痤,疒,0.7704,['疒'],[121025]
痧,疒,0.8099,['疒'],[121026]
痱,疒,0.5284,['疒'],[121273]
痿,疒,1.2444,['疒'],[121275]
瘁,疒,2.6222,['疒'],[121277]
瘌,疒,0.0988,['疒'],[121485]
瘘,疒,0.1383,['疒'],[121487]
瘢,疒,0.1235,['疒'],[121663]
瘠,疒,0.479,['疒'],[121664]
瘴,疒,0.6519,['疒'],[121817]
癞,疒,1.3679,['疒'],[121997]
癔,疒,0.2074,['疒'],[121998]
痩,疒,0.1333,['疒'],"[99159, 102]"
病,疒,287.3926,['疒'],[99252]
疗,疒,65.4815,['疒'],[99527]
疫,疒,14.721,['疒'],[99585]
症,疒,85.2593,['疒'],[99769]
癸,癶,0.316,['癶'],[119090]
登,癶,263.3926,['癶'],[28641]
卜,卜,53.284,['卜'],[101755]
卧,卜,59.1951,['卜'],[102576]
