Character,Radical,CharFreq,Radicals
扦,扌,0.0889,"['扌', '手']"
衬,衤,32.2222,"['衣', '衤']"
沃,氵,40.0395,"['氺', '水', '氵']"
枝,木,48.3951,['木']
汉,氵,108.9235,"['氺', '水', '氵']"
面,面,1395.4321,['面']
愧,忄,24.4049,"['心', '忄']"
颠,页,26.6074,"['頁', '页']"
侦,亻,52.0099,"['人', '亻']"
服,月,546.3556,['月']
惹,心,47.2148,"['心', '忄']"
土,土,106.884,['土']
捎,扌,2.6617,"['扌', '手']"
呆,口,105.5852,"['囗', '口']"
崩,山,40.4444,['山']
卖,十,217.0716,['十']
伯,亻,64.4049,"['人', '亻']"
地,土,2165.5259,['土']
货,贝,208.484,"['貝', '贝']"
吸,口,163.3975,"['囗', '口']"
险,阝,138.8691,"['邑', '阜', '阝']"
衣,衣,403.3679,"['衣', '衤']"
萌,艹,70.7111,['艹']
藤,艹,11.5605,['艹']
沙,氵,134,"['氺', '水', '氵']"
逮,辶,19.842,['辶']
历,厂,209.3926,['厂']
腹,月,35.3975,['月']
劫,力,41.4815,['力']
严,一,121.358,['一']
删,刂,42.8346,"['刂', '刀']"
跛,足,0.7457,['足']
永,水,353.121,"['氺', '水', '氵']"
官,宀,220.0494,['宀']
画,田,402.4593,['田']
舍,舌,117.0667,['舌']
看,目,4002.8444,['目']
炮,火,187.9654,"['火', '灬']"
展,尸,184.6815,['尸']
薏,艹,3.3975,['艹']
斑,文,26.3753,['文']
就,尢,5922.9284,"['尣', '尢', '兀']"
町,田,1.6049,['田']
股,月,134.163,['月']
规,见,120.0444,"['见', '見']"
剥,刂,15.5111,"['刂', '刀']"
乘,丿,43.684,"['丿', '乀', '乁']"
骚,马,39.442,"['馬', '马']"
圣,土,149.679,['土']
仆,亻,11.0765,"['人', '亻']"
安,宀,1186.3111,['宀']
蜈,虫,1.8469,['虫']
招,扌,127.6889,"['扌', '手']"
横,木,50.884,['木']
汕,氵,13.6247,"['氺', '水', '氵']"
蠢,虫,51.4123,['虫']
剪,刀,79.2889,"['刂', '刀']"
皇,白,103.842,['白']
妮,女,47.9259,['女']
请,讠,623.1457,"['讠', '言']"
陷,阝,46.9926,"['邑', '阜', '阝']"
赛,贝,256.316,"['貝', '贝']"
讲,讠,222.9037,"['讠', '言']"
醋,酉,30.4346,['酉']
疼,疒,197.9062,['疒']
斗,斗,283.0914,['斗']
年,干,4967.0963,['干']
调,讠,284.5481,"['讠', '言']"
拖,扌,70.6272,"['扌', '手']"
雌,隹,4.716,['隹']
结,纟,754.2321,"['糸', '纟']"
翼,羽,28.9531,['羽']
美,羊,1496.479,['羊']
充,儿,222,['儿']
庇,广,5.2444,['广']
衿,衤,0.2173,"['衣', '衤']"
便,亻,333.1753,"['人', '亻']"
荒,艹,43.7481,['艹']
秒,禾,123.8321,['禾']
卸,卩,19.7136,['卩']
副,刂,58.1728,"['刂', '刀']"
蔚,艹,4.1679,['艹']
败,贝,169.9062,"['貝', '贝']"
困,囗,218.6914,"['囗', '口']"
撤,扌,18.0346,"['扌', '手']"
选,辶,746.9728,['辶']
移,禾,98.6222,['禾']
分,刀,2623.8716,"['刂', '刀']"
汤,氵,115.1753,"['氺', '水', '氵']"
合,口,550.8,"['囗', '口']"
适,辶,208.4494,['辶']
秀,禾,178.6914,['禾']
同,口,1060.7556,"['囗', '口']"
淘,氵,128.4099,"['氺', '水', '氵']"
蜂,虫,39.8074,['虫']
东,一,805.9358,['一']
胀,月,14.2173,['月']
表,衣,955.9407,"['衣', '衤']"
絮,糸,23.6198,"['糸', '纟']"
窝,穴,94.9778,['穴']
顽,页,10.2963,"['頁', '页']"
诱,讠,49.4469,"['讠', '言']"
糟,米,97.0519,['米']
其,八,747.7383,"['丷', '八']"
满,氵,410.8889,"['氺', '水', '氵']"
税,禾,26.7309,['禾']
风,风,680.2173,"['风', '風']"
济,氵,69.1407,"['氺', '水', '氵']"
营,艹,151.3877,['艹']
扑,扌,126.7753,"['扌', '手']"
找,扌,890.479,"['扌', '手']"
习,乙,288.8148,"['乙', '乚', '乛']"
贯,贝,11.8222,"['貝', '贝']"
限,阝,182.2123,"['邑', '阜', '阝']"
恰,忄,23.363,"['心', '忄']"
狙,犭,4.4049,"['犬', '犭']"
耽,耳,8.4346,['耳']
朽,木,4.3605,['木']
殖,歹,6.479,['歹']
闲,门,93.5358,"['門', '门']"
俭,亻,4.0247,"['人', '亻']"
曙,日,3.2,['日']
毁,殳,66.9185,['殳']
杂,木,109.4173,['木']
形,彡,174.8296,['彡']
伸,亻,64.2568,"['人', '亻']"
懒,忄,92.2469,"['心', '忄']"
仓,人,30.6765,"['人', '亻']"
捐,扌,25.1506,"['扌', '手']"
懵,忄,5.8222,"['心', '忄']"
陈,阝,122.2173,"['邑', '阜', '阝']"
